StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,1_1,1_2,1_3,1_8,1_9,2_1,2_2,2_3,2_8,2_9,imid,Q_Language,group,SC1,SC2,SC3,controls
2021-10-21 01:40:49,2021-10-21 01:43:40,IP Address,100,171,True,2021-10-21 01:43:41,R_20YhjPHMmran4s9,anonymous,NL,0.89999997615814208984375,Convid,"Pensioen ",Storm schade,Prinses amalia,"Criminaliteit ",Storm schade,"Convid ","Pensioen ","Prinses Amalia ","Criminaliteit ",4012731,NL,FB/NOS/GA,3,5,3,yes
2021-10-21 01:39:53,2021-10-21 01:44:13,IP Address,100,260,True,2021-10-21 01:44:13,R_pASbz4A5OQv2Yh3,anonymous,NL,1,"Corona ",Pandemie,"Onderwijs ","Criminaliteit ",Geen,Weer,"Corona ","Onderwijs ","Criminaliteit ",Geen,4418295,NL,GA,4,5,3,no
2021-10-21 01:43:44,2021-10-21 01:44:32,IP Address,100,47,True,2021-10-21 01:44:34,R_A5IsTv7JYf5ts89,anonymous,NL,0.89999997615814208984375,wind,"zorg ",gasprijzen,"huisprijzen ","benzine ",wind,"zorg ",gasprijzen,huisprijzen,"benzine ",727824,NL,FB,1,5,0,yes
2021-10-21 01:41:39,2021-10-21 01:44:45,IP Address,100,186,True,2021-10-21 01:44:46,R_3NRrxDF8znj0Ct1,anonymous,NL,0.89999997615814208984375,Asielzoekers opvang,Pensioencode geen verhoging,Nieuw kabinet,Hooligans aanpak,Gasprijzen,Asielzoekers maar 500 plaatsen extra,Geen pensioenverhoging,Code geel,Holigens,Nieuwe ING pas,4017147,NL,GA,3,1,2,yes
2021-10-21 01:43:20,2021-10-21 01:44:47,IP Address,100,87,True,2021-10-21 01:44:48,R_2B51spOqxgXgxLn,anonymous,NL,0.89999997615814208984375,Ter Apel,Coronavaccins,Undercoveragent suicide,Pensioenplus,Letland,Lockdown,Asielindustrie,Chip in hand,Boostershot,Code geel,2619902,NL,GA,5,5,5,yes
2021-10-21 01:44:07,2021-10-21 01:44:58,IP Address,100,51,True,2021-10-21 01:44:59,R_2veoAV0YGJ2qL05,anonymous,NL,1,Mileu,Covid,Maatschappij,Regering,Seks,Mileu,Seks,Covid,Regering,"Geld ",980722,NL,GA,5,3,2,yes
2021-10-21 01:44:22,2021-10-21 01:46:25,IP Address,100,123,True,2021-10-21 01:46:25,R_2wElupmqOS1bWIz,anonymous,NL,1,Asiel,Huisvesting,Economie,Formatie,Misdaad,Storm,Asielzoekers,Economie,Formatie,Woningmarkt,5027510,NL,NOS,0,1,3,yes
2021-10-21 01:45:30,2021-10-21 01:46:47,IP Address,100,76,True,2021-10-21 01:46:48,R_1pPS0Xo3gji0h95,anonymous,NL,0.89999997615814208984375,corona,weer,klimaat,inenten,ziek,werkdruk,gezondheid,njmk,",jnk",jkm,175178,NL,GA,4,3,4,yes
2021-10-21 01:37:43,2021-10-21 01:47:05,IP Address,100,562,True,2021-10-21 01:47:06,R_1Fsm7t7jrQJQEaT,anonymous,NL,1,de storm,boeren en het cda,oplopende corona,vaccinaties,werkloosheid daalt,corona,werkloosheid,windhoos,vrijhandelsakkoord GB en NZ,joyriding,659202,NL,FB,0,5,5,yes
2021-10-21 01:45:53,2021-10-21 01:47:45,IP Address,100,111,True,2021-10-21 01:47:45,R_2Csss1Hq1O7nPEf,anonymous,NL,1,energieprijzen,storm,benzineprijs,klimaat,veiligheid,storm,energieprijs,corona,toeslagaffaire,vluchtelingen,3855030,NL,NOS,0,1,4,yes
2021-10-21 01:40:24,2021-10-21 01:48:40,IP Address,100,496,True,2021-10-21 01:48:41,R_WDm6X0AzW7HTs7T,anonymous,NL,1,klimaat,immigratie,defensie,grenzen,biodiversteit,Werkloosheid in september gedaald,Overheid voor miljarden gedupeerd,Rijke landen breken vaccinbeloft,Marokko verbiedt vluchten van en naar Nederland vanwege coronavirus,Broekers-Knol belooft opvang elders,14972,NL,NOS,0,1,5,no
2021-10-21 01:48:22,2021-10-21 01:49:38,IP Address,100,75,True,2021-10-21 01:49:38,R_3dK3P5FWaCFhoRA,anonymous,NL,1,Asielzoekers,Corona,Klimaatverandering,Huizenmarkt,het weer,asielzoekers,huizenmarkt,corona,weet ik niet,weet ik niet,4156208,NL,GA,3,4,4,yes
2021-10-21 01:49:40,2021-10-21 01:50:50,IP Address,100,69,True,2021-10-21 01:50:50,R_1o0ca9qPCIV5RTk,anonymous,NL,1,kabinet,klimaat,corona,zorg,onderwijs,corona,zorg,klimaat,onderwijs,vandalisme,1515178,NL,NOS,0,1,3,yes
2021-10-21 01:49:33,2021-10-21 01:51:26,IP Address,100,113,True,2021-10-21 01:51:26,R_2PooNDJ0Mb2g1D9,anonymous,NL,1,Corona,Ziekenhuizen,ouderen,onderwijs,file,storm,kabinet,vakantie,klimaat,onderwijs,480760,NL,FB,0,4,0,yes
2021-10-21 01:46:52,2021-10-21 01:51:33,IP Address,100,281,True,2021-10-21 01:51:33,R_reB0hbytfjBjqil,anonymous,NL,1,Milieu,Asielzoekersopvang,Woningtekort,coronabesmettingen,energieprijzen,asielzoekersopvang,stormschade,uithuisplaatsing door toeslagenaffaire,stijging coronabesmettingen,Marokko sluit luchtruim,2764624,NL,NOS,0,0,3,yes
2021-10-21 01:50:20,2021-10-21 01:52:52,IP Address,100,151,True,2021-10-21 01:52:52,R_3PB7zl034RUCTUI,anonymous,NL,1,gezondheidszorg,klimaat,gas,natuurbehoud,kinderbijslag,gezondheid,klimaat,energie,weer,file,36160,NL,FB,2,5,2,yes
2021-10-21 01:51:16,2021-10-21 01:53:38,IP Address,100,142,True,2021-10-21 01:53:38,R_ZLkhIXgeC4haf1T,anonymous,NL,0.89999997615814208984375,Toeslagaffaire,Armoede,Woningnood,Gezondheidszorg,Onderwijs,Toeslagaffaire,Vluchtelingen,Corona,Europese Unie,Veiligheid,46940,NL,NOS,1,0,4,yes
2021-10-21 01:50:45,2021-10-21 01:53:50,IP Address,100,184,True,2021-10-21 01:53:50,R_3Oe6sw0fzQSfxZ7,anonymous,NL,1,Asielzoekers,Energieprijzen,Huizentekort,Klimaat,Agressie,Asielzoekers,Energieprijzen,Huizentekort,Klimaat,Agressie,3850394,NL,FB,0,5,0,yes
2021-10-21 01:53:40,2021-10-21 01:56:31,IP Address,100,171,True,2021-10-21 01:56:31,R_1CjfGezYhpzlTB3,anonymous,NL,1,Zorg,Onderwijs,Defensie,Verkeer,Huisvesting,Weer,Huizenprijs,Inflatie,Lokale politiek,Zorg,2436678,NL,NOS,2,0,3,yes
2021-10-21 01:52:42,2021-10-21 01:57:03,IP Address,100,261,True,2021-10-21 01:57:04,R_3lspKvUCWUk5g3t,anonymous,NL,1,Cpronacrisis,Vluchtelingen,"Toeslagen ",Crimonaliteit,Veiligheid,"Corona ",Weer,Overheid gedupeerd,Vacinatiebelofte,Windhoos,169409,NL,GA/FB,3,3,0,yes
2021-10-21 01:54:20,2021-10-21 01:58:35,IP Address,100,254,True,2021-10-21 01:58:35,R_2drVodriYnt62xX,anonymous,NL,1,Voetbal,herfstweer,ocean cleanup,Trump,dure grondstoffen,dure grondstoffen,voetbal,ocean cleanup,herfstweer,trump,2685805,NL,ALL,3,3,3,yes
2021-10-21 01:54:30,2021-10-21 01:59:51,IP Address,100,321,True,2021-10-21 01:59:51,R_3fHjJ5N6lBfVudM,anonymous,NL,1,vertrouwen in de overheid,stijgende corona cijfers,veiligheid op straat,"personeelstekort bij overheid gerelateerde diensten (onnderwijs, zorg, politie)",de vorming van een nieuwe regering,noodweer in de nacht,verkeersproblemen,gebrek aan vertrouwn in de overheid bij boeren,overvolle asielcentra,dansevenmet afgelopen weekend,489090,NL,NOS,0,0,4,yes
2021-10-21 01:40:50,2021-10-21 02:00:00,IP Address,100,1150,True,2021-10-21 02:00:00,R_XjqAWM0Ff54HHOx,anonymous,NL,0.699999988079071044921875,"coronacrissis ","formatie ",energie,"woningbouw ",Groningen gas,windhoos,Europees voetbal,corona,15 jarige rijd in op politie,trump,4732950,NL,FB,2,5,3,yes
2021-10-21 02:00:23,2021-10-21 02:01:24,IP Address,100,61,True,2021-10-21 02:01:25,R_2YtFYaYZizbcTeZ,anonymous,NL,1,corona,voetbal,storm,ilegalen,werk,corona,storm,champions league,milieu,weer,875901,NL,GA,4,4,4,yes
2021-10-21 01:54:10,2021-10-21 02:01:49,IP Address,100,459,True,2021-10-21 02:01:50,R_299QdkK5JgO8ot4,anonymous,NL,1,Noodweer,Vaccinatiebelofte,Werkloosheid,Toeleveringen,Infecties,Infecties stijgen,Opvangplekken,Windhoos,Overheid gedupeerd,Breken vaccinbelofte,3119751,NL,FB,0,5,2,no
2021-10-21 02:01:49,2021-10-21 02:02:15,Spam,100,25,True,2021-10-21 02:02:15,R_1flmboQel9X8cHy,anonymous,EN,1,,,,,,,,,,,4421216,EN,,,,,
2021-10-21 02:02:20,2021-10-21 02:04:11,IP Address,100,110,True,2021-10-21 02:04:11,R_3R2SbTKuiceeFbq,anonymous,NL,1,"Milieu ","Corona ","Overbevolking ",Woningnood,Energieprijzen,Storm,Corona,"Woningnood ","Milieu ","Boeren ",3148974,NL,NOS,1,0,5,yes
2021-10-21 01:59:01,2021-10-21 02:05:15,IP Address,100,373,True,2021-10-21 02:05:15,R_Cmk2GLIu0GqFwsh,anonymous,NL,0.800000011920928955078125,Kabinetsformatie,Covid,Lerarentekort,Stikstofprobleem,Woningnood,Weinig coronavaccins naar arme landen,"Ter Apel ",Uithuisplaatsing kinderen toeslag ouders,Reisverbod Marokko,Sprinters weer wereldkampioen,4031731,NL,FB,0,3,2,yes
2021-10-21 01:53:09,2021-10-21 02:06:35,IP Address,100,805,True,2021-10-21 02:06:35,R_3OjCXheRraRkITu,anonymous,NL,0.89999997615814208984375,Woningvraagstk,Covid,Gas tekort,Regeringscrisis,Toeslagenaffaire,Gastekort,Toeslagenaffaire,Asielzoekerscentrum overvol,Poolse rechtspraak,Gemeentefonds,4355039,NL,NOS,0,1,5,no
2021-10-21 02:02:59,2021-10-21 02:10:07,IP Address,100,428,True,2021-10-21 02:10:08,R_22Vic8FrkvLBzTH,anonymous,NL,1,corona,immigratie,energieprijzen,kabinet,Polen,windhoos,qr code verplicht,polen,schade,immigratie,4876236,NL,NOS,2,3,5,yes
2021-10-21 02:08:09,2021-10-21 02:12:34,IP Address,100,264,True,2021-10-21 02:12:34,R_3s5KsUaFdsKesx4,anonymous,NL,1,Corona,Formatie,Stijgende prijzen boodschappen,Gasprijzen,?,Herfststorm,Politie Amerika vindt een lichaam,Ic capaciteit kan niet omhoog,Arme landen krijgen niet genoeg vaccins,?,3116121,NL,FB,0,5,3,yes
2021-10-21 02:11:02,2021-10-21 02:12:58,IP Address,100,116,True,2021-10-21 02:12:59,R_2EjjxaM8RKGXn02,anonymous,NL,0.89999997615814208984375,Asiel,Klimaat,"Toeslagen ","Corona ","Stikstofoxiden ","Asielbeleid ",Gasprijzen,"Huizenmarkt ",Klimaat,Stikstof,4008961,NL,NOS,0,3,5,yes
2021-10-21 02:11:10,2021-10-21 02:13:05,IP Address,100,115,True,2021-10-21 02:13:05,R_Rkxi4HyJQ6XDxfj,anonymous,NL,1,woningnood,corona,economie,zorg,energieprijs,druk op zorg,windhoos,stijgende huizenprijzen,formatie,geweld hooligans,5024188,NL,GA,3,5,5,yes
2021-10-21 02:08:54,2021-10-21 02:13:26,IP Address,100,272,True,2021-10-21 02:13:27,R_3egDpHCljnAjDYn,anonymous,NL,1,voetbalrellen en andere ongeregeldheden,stikstof,woningnood,toeslagenaffaire,de verharding van de maatschappij,"vaccinatieweigeraars ",misstanden in de sport,"de taliban ",natuurbeheer,"samenwerking in de eu, Polen",2751697,NL,NOS,0,2,4,yes
2021-10-21 02:12:33,2021-10-21 02:14:19,IP Address,100,105,True,2021-10-21 02:14:19,R_2frGYxQMl4y3dH7,anonymous,NL,1,"Gezondheidszorg ",Onderwijs,Economie,Milieu,"Gaswinning ",Corona,Gaswinning,Zorgkosten,Onderwijs,Economie,2930896,NL,GA,5,0,0,yes
2021-10-21 02:11:06,2021-10-21 02:14:34,IP Address,100,208,True,2021-10-21 02:14:35,R_pfmmrKr6bh7fC13,anonymous,NL,0.89999997615814208984375,Veehouders,Klimaat,Vluchtenlingen,woningnood,Energie,Veehouders,Slachtoffers toeslagenaffaire,Covid,KLimaat,Energie,5026718,NL,GA,3,5,5,yes
2021-10-21 02:10:42,2021-10-21 02:15:06,IP Address,100,264,True,2021-10-21 02:15:07,R_2SiVrOoxbGHqfx8,anonymous,NL,0.89999997615814208984375,Pro-transgender protesten,"Treinverkeer ontregeld ","Auto’s verzamelen veel gegevens ","Werkloosheid gedaald ","Mislopen Dividend belasting ",Auto’s verzamelen veel gegevens,India zijn miljardste Corona prik,"Treinverkeer ontregeld ",Pro-transgender protesten,"Veehouders geen vertrouwen ",45043,NL,GA,3,5,4,yes
2021-10-21 01:59:44,2021-10-21 02:15:06,IP Address,100,922,True,2021-10-21 02:15:07,R_1OTgTNBTS0kPKhV,anonymous,NL,1,Nieuw kabinet,Corona,Milieu,De Bouw,De belasting,Vaccinatie,Landbouw,Ziekenhuis opname,Economie,Wateroverlast,46107,NL,GA,5,5,0,no
2021-10-21 02:12:41,2021-10-21 02:15:14,IP Address,100,152,True,2021-10-21 02:15:14,R_6XWClh7ATCp09fr,anonymous,NL,1,regering,veiligheid,immigratie,prijsstijgingen,reljeugd,pensioenen,asielbeleid,criminaliteit,weer,misdaad,3120459,NL,FB,2,5,2,yes
2021-10-21 02:07:34,2021-10-21 02:17:51,IP Address,100,617,True,2021-10-21 02:17:52,R_3qroNP5gzRTA0XC,anonymous,NL,0.89999997615814208984375,"Criminaliteit ","Vluchtelingen ",Covid 19,"Gezondheidszorg ","Veiligheid ",Storm,Ter Apel,"Groot Brittannië en Nieuw Zeeland ","Besmettingscijfers Engeland ",Geen vertrouwen veehouders in overheid,2697768,NL,NOS,0,0,4,no
2021-10-21 01:52:11,2021-10-21 02:18:04,IP Address,100,1552,True,2021-10-21 02:18:04,R_2UbwJk1UYUuDD9j,anonymous,NL,0.89999997615814208984375,"Criminaliteit ","Klimaatverandering ",Corona,"Pensioenfondsen ",Files,Griep,Corona,Windhoos,"Bedreigingen politici ","Plastic overlast ",4020447,NL,NOS,0,0,4,yes
2021-10-21 02:14:10,2021-10-21 02:18:58,IP Address,100,288,True,2021-10-21 02:18:59,R_3FVbwKbGXMthcBC,anonymous,NL,1,corona,zorg,woningaanbod,criminelen,hooligans,pensioen,vliegverbod marokko,strafzaak Wiersum,files,orgaan,172787,NL,GA,3,5,4,yes
2021-10-21 02:19:02,2021-10-21 02:19:46,IP Address,100,44,True,2021-10-21 02:19:46,R_O75zeI0VzYwXopr,anonymous,NL,0.89999997615814208984375,toeslagen affaire,storm,windhoos,geen,geen,windhoos,storm,geen,geen,geen,2008638,NL,FB,2,5,3,yes
2021-10-21 02:13:28,2021-10-21 02:21:30,IP Address,100,481,True,2021-10-21 02:21:30,R_3sBU5Sb6Slb6K6i,anonymous,NL,0.89999997615814208984375,Toeslagenaffairre,Corona,Asielzoekers,armmoede in NL,Nieuwe Verkiezingen,Nieuwe Verkiezingen,armmoede in NL,Corona,Toeslagenaffairre,Asielzoekers,168860,NL,FB,0,4,0,yes
2021-10-21 02:15:02,2021-10-21 02:21:47,IP Address,100,405,True,2021-10-21 02:21:47,R_12gMQdDXogVsRsc,anonymous,NL,1,"COVID ","Ter Apel ","Asielzoekers ",Onstuimig weer,Werkloosheid,Windhozen,Ter apel,Covid,Regering,Asielzoekers,974953,NL,GA,3,4,5,yes
2021-10-21 02:15:59,2021-10-21 02:23:04,IP Address,100,425,True,2021-10-21 02:23:04,R_3G6SkXurQ7rJtVy,anonymous,NL,1,Vluchtelingen opvang,"Oplopen corona besmettingen ",Noodweer,EU problemen met Polen,Letland weer in lockdown,Noodweer,"Oplopende besmettingen ",Opvang ter apel,"Mislopen dividend Belasting ","Werkeloosheid gedaald ",4096459,NL,GA,5,0,0,yes
2021-10-21 02:22:47,2021-10-21 02:23:20,IP Address,100,32,True,2021-10-21 02:23:20,R_2aITiyaIaYgIxaD,anonymous,NL,1,Corona,Milieu,Huizenmarkt,"Gezondheidszorg ",?,Stormschade,Coronacijfers,?,?,?,4548269,NL,FB,0,3,2,yes
2021-10-21 02:12:14,2021-10-21 02:24:02,IP Address,100,707,True,2021-10-21 02:24:02,R_1mlUGvZ8suvMjkB,anonymous,NL,1,zorg,"werk ",inkomen,energie,corona,zorg,werk,corona,energie,milieu,444657,NL,FB,1,5,1,no
2021-10-21 02:17:28,2021-10-21 02:25:18,IP Address,100,470,True,2021-10-21 02:25:18,R_1CrMzKZO6gTRbbS,anonymous,NL,0.89999997615814208984375,Corona,Klimaat,Economie,Energie,Woningen,Stormschade,Coronacijfers lopen verder op,Prijzen blijven sterk stijgen,"Psv Monaco ",Ic kan niet verder opschalen,1739633,NL,FB,1,5,3,yes
2021-10-21 02:02:19,2021-10-21 02:27:30,IP Address,100,1511,True,2021-10-21 02:27:31,R_qIQoKOAcKBmly5r,anonymous,NL,1,Woningmarkt,Milieu,Klimaat,Zorg,EU,Opvang asielzoekers,Milieu,Klimaat,Woningmarkt,EU,175461,NL,GA,3,0,5,no
2021-10-21 02:26:52,2021-10-21 02:28:04,IP Address,100,72,True,2021-10-21 02:28:05,R_4NMDstioxdlcJSp,anonymous,NL,0.89999997615814208984375,Kabinet vormen,Immigratie,"Ten Apel ",Voetbalsupporters,Storm,Storm,Voetbalsupporters,"Ten Apel ",Immigranten,Code geel,1867794,NL,FB,0,5,0,yes
2021-10-21 02:27:15,2021-10-21 02:28:21,IP Address,100,66,True,2021-10-21 02:28:21,R_2X7NeWxmnDWag19,anonymous,NL,0.89999997615814208984375,Covid,"Voetbal ",Mvt,Geen idee,Géén idee,Niks,Niks,Niks,Niks,Niks,46418,NL,GA,3,5,3,yes
2021-10-21 02:29:36,2021-10-21 02:30:34,IP Address,100,57,True,2021-10-21 02:30:34,R_2zkWrr5JIOQGGH1,anonymous,NL,0.89999997615814208984375,Corona,Boeren,Milieu,"Onderwijs ","Vluchtelingen ","Vluchtelingen ",Boeren,"Milieu ","Gezondheidszorg ",Weet niet,3821044,NL,GA,3,2,4,yes
2021-10-21 02:29:32,2021-10-21 02:30:34,IP Address,100,62,True,2021-10-21 02:30:35,R_2wAhhjRbvB3iSLZ,anonymous,NL,1,energie,woningmarkt,criminaloiteit,corona,zorg,geen idee,idem,idem,idem,idem,43542,NL,NOS,0,3,5,yes
2021-10-21 02:23:57,2021-10-21 02:31:38,IP Address,100,461,True,2021-10-21 02:31:39,R_3PuvynsavXBXcWD,anonymous,NL,1,"Woningnood ","Corona ","Arbeidsmarkt ",Zorg,"Vreemdelingen ","Stormschade ",Oxfam novib,"Transgender protesten ","Veehouders geen vertrouwen in overheid ","NFI auto's verzamelen veel data ",4729468,NL,FB,0,5,5,yes
2021-10-21 02:31:00,2021-10-21 02:31:55,IP Address,100,55,True,2021-10-21 02:31:55,R_24jejDHghC2TqMO,anonymous,NL,1,corona,woningmarkt,zorgsector,energieprijzen,weet ik niet,geen idee,idem,idem,idem,idem,36853,NL,NOS,0,3,4,yes
2021-10-21 02:30:24,2021-10-21 02:34:10,IP Address,100,225,True,2021-10-21 02:34:10,R_3poimpoEJsqjhy4,anonymous,NL,1,discriminatie,crisis woning markt,stijgende energie prijzen,stijgende prijzen supermarkt,millieu problemen,ruimte gebrek assiel zoekers,stijgende benzine prijzen,slechte lucht kwaliteit in nederland,supermarkt producten prijs stijging,energie crisis,4712470,NL,NOS,1,2,4,yes
2021-10-21 02:32:46,2021-10-21 02:35:07,IP Address,100,141,True,2021-10-21 02:35:07,R_22yJipJOZYoNw1E,anonymous,NL,1,"corona ","kabinet formatie ","milleu ","asielbeleid ",gas,"corona ","kabinetsformatie ","milleu ","gas ","asielbeleid ",4074720,NL,NOS,1,0,3,yes
2021-10-21 02:25:09,2021-10-21 02:35:38,IP Address,100,628,True,2021-10-21 02:35:38,R_3D13o13i5UCo8TH,anonymous,NL,1,Huisvesting,Asiel,Overheidsbeleid,Woke nes,Eenheid,Wind,Corona,Voetbal,QR code,Woningnood,487227,NL,NOS,0,1,4,no
2021-10-21 02:34:20,2021-10-21 02:36:37,IP Address,100,137,True,2021-10-21 02:36:37,R_8cu5oQvKUiAKkDv,anonymous,NL,0.89999997615814208984375,immigratie,energie,ouderen,huisvesting,boeren/visserij,corona,immigratie,woningbouw,ouderen,stijging ziektekosten,3854463,NL,GA,5,5,0,yes
