StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,T1_1,T1_2,T1_3,T1_4,T1_5,T1_6,T1_7,GA1_1,GA1_2,GA1_3,GA1_4,GA1_5,GA2,GA3_1,GA3_2,GA3_3,GA3_4,GA3_5,GA3_6,GA3_7,GA3_8,GA4,GA5,GA6,N1_1,N1_2,N1_3,N1_4,N1_5,N2,N3_1,N3_2,N3_3,N3_4,N3_5,N3_6,N3_7,N3_8,N4,N5,N6,FB1_1,FB1_2,FB1_3,FB1_4,FB1_5,FB2,FB3_1,FB3_2,FB3_3,FB3_4,FB3_5,FB3_6,FB3_7,FB3_8,FB4,FB5,FB6,1,2_1,imid,Q_Language,group,SC1,SC2,SC3
2021-10-19 6:59:26,2021-10-19 7:07:29,IP Address,100,482,TRUE,2021-10-19 7:07:29,R_2sTo7HvvnQSgKZt,anonymous,NL,1,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree - 2,Strongly disagree - 1,Strongly disagree - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Never - 1,Slightly interesting - 2,5,480907,NL,FB,0,4,0
2021-10-19 6:49:42,2021-10-19 7:07:50,IP Address,100,1088,TRUE,2021-10-19 7:07:51,R_uajLpyDA1L4DyqR,anonymous,NL,1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Disagree - 2,Neither agree nor disagree - 4,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat disagree - 3,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Far too little - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Sometimes - 3,Neither agree of disagree - 4,Somewhat disagree - 3,Neither agree of disagree - 4,Neither agree of disagree - 4,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Far too little - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,About half of the time - 4,Disagree - 2,Somewhat disagree - 3,Somewhat disagree - 3,Agree - 6,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Far too little - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,About half of the time - 4,Moderately interesting - 3,7,4779640,NL,FB,2,5,2
2021-10-19 7:25:00,2021-10-19 7:26:39,IP Address,100,99,TRUE,2021-10-19 7:26:40,R_6x6DYc7Jq0vdJ4Z,anonymous,NL,1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Slightly too much attention - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Neither agree nor disagree - 4,Somewhat agree - 5,About half of the time - 4,Neither agree of disagree - 4,Somewhat agree - 5,Somewhat disagree - 3,Neither agree of disagree - 4,Somewhat agree - 5,Slightly too much attention - 5,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Somewhat agree - 5,Somewhat agree - 5,Usually - 5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Slightly too much attention - 5,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too little - 3,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Moderately too much - 6,Somewhat agree - 5,Somewhat disagree - 3,Usually - 5,Very interesting - 4,7,5030433,NL,GA,4,3,3
2021-10-19 7:24:58,2021-10-19 7:28:27,IP Address,100,209,TRUE,2021-10-19 7:28:27,R_2DV0toX2fCmtBwB,anonymous,NL,89.999.997.615.814.200.000.000,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Disagree - 2,Somewhat agree -5,Agree -6,Somewhat agree -5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat agree - 5,Agree - 6,Moderately too little attention - 2,Moderately too little - 2,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Neither agree nor disagree - 4,Somewhat agree - 5,About half of the time - 4,Moderately interesting - 3,7,4608304,NL,FB,0,5,0
2021-10-19 7:16:15,2021-10-19 7:29:41,IP Address,100,805,TRUE,2021-10-19 7:29:41,R_esx9hmVsP0YXrP3,anonymous,NL,89.999.997.615.814.200.000.000,Somewhat disagree - 3,Agree -6,Somewhat agree -5,Somewhat agree -5,Strongly disagree - 1,Somewhat disagree - 3,Disagree - 2,Disagree - 2,Disagree - 2,Strongly disagree - 1,Disagree - 2,Somewhat agree - 5,Moderately too little attention - 2,Moderately too much - 6,Moderately too much - 6,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Agree - 6,Agree - 6,About half of the time - 4,Strongly agree - 7,Strongly agree - 7,Disagree - 2,Strongly disagree - 1,Strongly disagree - 1,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Somewhat agree - 5,Somewhat disagree - 3,About half of the time - 4,,,,,,,,,,,,,,,,,,Extremely interesting - 5,2,4854387,NL,GA,5,0,5
2021-10-19 7:28:02,2021-10-19 7:32:35,IP Address,100,272,TRUE,2021-10-19 7:32:35,R_10MWsy4zpvLrZp7,anonymous,NL,1,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Agree - 6,Agree - 6,Neither agree of disagree - 4,Neither agree of disagree - 4,Neither agree of disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Moderately interesting - 3,6,4022408,NL,FB,2,5,2
2021-10-19 7:35:44,2021-10-19 7:45:18,IP Address,100,573,TRUE,2021-10-19 7:45:18,R_12PT7ZibmmjvTwv,anonymous,NL,1,Agree -6,Agree -6,Agree -6,Somewhat agree -5,Disagree - 2,Disagree - 2,Disagree - 2,,,,,,,,,,,,,,,,,,Agree - 6,Somewhat disagree - 3,Somewhat disagree - 3,Neither agree of disagree - 4,Neither agree of disagree - 4,Moderately too much attention - 6,Moderately too much - 6,Neither too much nor too little - 4,Slightly too little - 3,Moderately too much - 6,Moderately too much - 6,Moderately too much - 6,Slightly too much - 5,Far too much - 7,Neither agree nor disagree - 4,Neither agree nor disagree - 4,About half of the time - 4,,,,,,,,,,,,,,,,,,Extremely interesting - 5,5,5057625,NL,NOS,0,0,3
2021-10-19 7:32:42,2021-10-19 7:51:39,IP Address,100,1136,TRUE,2021-10-19 7:51:39,R_qWnAGHUsIXUnCXD,anonymous,NL,1,Agree -6,Agree -6,Agree -6,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,,,,,,,,,,,,,,,,,,Agree - 6,Agree - 6,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Far too little - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat agree - 5,Neither too much nor too little attention - 4,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Neither too much nor too little - 4,Neither too much nor too little - 4,Far too little - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Slightly interesting - 2,7,4536811,NL,FB,0,5,4
2021-10-19 8:05:36,2021-10-19 8:11:38,IP Address,100,361,TRUE,2021-10-19 8:11:38,R_27vCmBfkXI0Iq1o,anonymous,NL,1,Agree -6,Agree -6,Agree -6,Agree -6,Agree -6,Agree -6,Agree -6,Agree - 6,Somewhat agree - 5,Somewhat agree - 5,Agree - 6,Neither agree nor disagree - 4,Slightly too much attention - 5,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Neither agree nor disagree - 4,Somewhat agree - 5,About half of the time - 4,Agree - 6,Agree - 6,Agree - 6,Agree - 6,Agree - 6,Slightly too much attention - 5,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,About half of the time - 4,,,,,,,,,,,,,,,,,,Moderately interesting - 3,6,3135565,NL,GA,3,0,4
2021-10-19 8:21:37,2021-10-19 8:28:06,IP Address,100,388,TRUE,2021-10-19 8:28:06,R_1JLvwKbRFm38NTR,anonymous,NL,800.000.011.920.928.000.000.000,Agree -6,Agree -6,Agree -6,Agree -6,Agree -6,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Disagree - 2,Disagree - 2,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Seldom - 2,Somewhat agree - 5,Somewhat agree - 5,Disagree - 2,Disagree - 2,Disagree - 2,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Strongly disagree - 1,Strongly disagree - 1,Strongly agree - 7,Strongly agree - 7,Strongly agree - 7,Far too little attention - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Not interesting at all - 1,3,4061,NL,GA,3,3,2
