StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,1,2,3,4,5,8,7,10,6,9,SC1,SC2,SC3,Q_URL,Q_Language,ExternalReference,imid,group,email,Recruit
2021-10-06 9:29:27,2021-10-06 9:30:58,IP Address,100,91,TRUE,2021-10-06 9:30:58,R_pS5fKblh10JaeJj,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",56,Female,"HAVO or VWO (4th, 5th or 6th class) / HBS / MMS",1,,3,2,5,5,0,5,2,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=579492,NL,579492,579492,FB,xxxx@xxx.com,Completed
2021-10-06 9:35:32,2021-10-06 9:37:57,IP Address,100,144,TRUE,2021-10-06 9:37:57,R_UbxhqOTLqQmzBNT,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",77,Female,None or primary education,1,,1,,5,5,0,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=488061,NL,488061,488061,FB,xxxx@xxx.com,Completed
2021-10-06 9:47:33,2021-10-06 9:49:26,IP Address,100,113,TRUE,2021-10-06 9:49:27,R_vjWkiZ2IbPnWjtv,anonymous,NL,1,"Yes, I participate",33,Female,"HAVO or VWO (4th, 5th or 6th class) / HBS / MMS",2,1,2,4,5,3,1,3,4,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=2744799,NL,2744799,2744799,FB,xxxx@xxx.com,Completed
2021-10-06 9:50:22,2021-10-06 9:52:50,IP Address,100,148,TRUE,2021-10-06 9:52:50,R_1iqXPs6fWxqeUkV,anonymous,NL,1,"Yes, I participate",61,Male,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,1,,3,5,5,5,0,5,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=345053,NL,345053,345053,FB,xxxx@xxx.com,Completed
2021-10-06 11:35:10,2021-10-06 11:36:08,IP Address,100,57,TRUE,2021-10-06 11:36:08,R_vCV0RjqrMCOAjux,anonymous,NL,1,"Yes, I participate",70,Female,HBO (except HBO master) / WO candidate or WO bachelor,2,1,1,,5,5,1,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=1208274,NL,1208274,1208274,FB,xxxx@xxx.com,Completed
2021-10-06 11:33:35,2021-10-06 11:37:36,IP Address,100,241,TRUE,2021-10-06 11:37:38,R_3gYf9VwdRJ3m9Ql,anonymous,NL,1,"Yes, I participate",76,Male,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,1,,1,,5,5,0,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=173412,NL,173412,173412,FB,xxxx@xxx.com,Completed
2021-10-06 11:35:54,2021-10-06 11:38:02,IP Address,100,128,TRUE,2021-10-06 11:38:03,R_AomiSDK3grgbAJP,anonymous,NL,1,"Yes, I participate",,Female,"HAVO or VWO (4th, 5th or 6th class) / HBS / MMS",1,,1,,5,5,0,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4780007,NL,4780007,4780007,FB,xxxx@xxx.com,Completed
2021-10-06 11:49:54,2021-10-06 11:53:39,IP Address,100,224,TRUE,2021-10-06 11:53:39,R_1gkFkTTJkmxtrzY,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",41,Male,None or primary education,2,1,1,,5,5,1,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=3982885,NL,3982885,3982885,FB,xxxx@xxx.com,Completed
2021-10-06 12:02:46,2021-10-06 12:06:33,IP Address,100,226,TRUE,2021-10-06 12:06:33,R_3I5lip67YBbja8z,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",71,Female,HBO (except HBO master) / WO candidate or WO bachelor,1,,3,5,5,5,0,5,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=481260,NL,481260,481260,FB,xxxx@xxx.com,Completed
2021-10-06 12:17:56,2021-10-06 12:18:45,IP Address,100,49,TRUE,2021-10-06 12:18:46,R_eWDfpVDZzHzwZTr,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",58,Female,"MBO 2, 3, 4 or MBO before 1998",1,,5,5,5,5,0,5,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4018201,NL,4018201,4018201,FB,xxxx@xxx.com,Completed
2021-10-06 12:21:00,2021-10-06 12:22:31,IP Address,100,91,TRUE,2021-10-06 12:22:32,R_3pfgSTExlQrcTmo,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",41,Female,HBO (except HBO master) / WO candidate or WO bachelor,1,,1,,5,4,0,4,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=809350,NL,809350,809350,FB,xxxx@xxx.com,Completed
2021-10-06 13:21:17,2021-10-06 13:23:42,IP Address,100,144,TRUE,2021-10-06 13:23:44,R_2VmU8aYUrt0mVtQ,anonymous,NL,1,"Yes, I participate",20,Female,"HAVO or VWO (4th, 5th or 6th class) / HBS / MMS",1,,3,3,4,4,0,4,3,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4661827,NL,4661827,4661827,FB,xxxx@xxx.com,Completed
2021-10-06 13:56:29,2021-10-06 14:01:00,IP Address,100,270,TRUE,2021-10-06 14:01:01,R_Djh6XD2ZmHdLfC9,anonymous,NL,1,"Yes, I participate",66,Male,"MBO 2, 3, 4 or MBO before 1998",2,1,3,1,5,5,1,5,1,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=444657,NL,444657,444657,FB,xxxx@xxx.com,Completed
2021-10-06 14:22:01,2021-10-06 14:24:08,IP Address,100,126,TRUE,2021-10-06 14:24:08,R_OlF2s00X8Q4ydoZ,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",63,Female,"HAVO or VWO (4th, 5th or 6th class) / HBS / MMS",3,1,2,2,5,5,1,5,2,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=173211,NL,173211,173211,FB,xxxx@xxx.com,Completed
2021-10-06 16:16:55,2021-10-06 16:28:25,IP Address,100,690,TRUE,2021-10-06 16:28:27,R_yPZtaDvgHAEgfF7,anonymous,NL,1,"Yes, I participate",30,Female,"MBO 2, 3, 4 or MBO before 1998",2,1,1,,5,5,1,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=176938,NL,176938,176938,FB,xxxx@xxx.com,Completed
2021-10-07 2:19:23,2021-10-07 2:20:33,IP Address,100,69,TRUE,2021-10-07 2:20:33,R_Rz3jGsU6DvG6OGJ,anonymous,NL,1,"Yes, I participate",77,Male,None or primary education,1,,1,,5,5,0,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=43210,NL,43210,43210,FB,xxxx@xxx.com,Completed
2021-10-07 3:06:36,2021-10-07 3:08:11,IP Address,100,95,TRUE,2021-10-07 3:08:11,R_2c12rK4TCxuzic0,anonymous,NL,1,"Yes, I participate",56,Male,"HAVO or VWO (4th, 5th or 6th class) / HBS / MMS",1,,1,,5,4,0,4,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=480907,NL,480907,480907,FB,xxxx@xxx.com,Completed
2021-10-07 3:06:47,2021-10-07 3:08:28,IP Address,100,101,TRUE,2021-10-07 3:08:29,R_4Pmv2bEGePbESNH,anonymous,NL,1,"Yes, I participate",73,Male,"HAVO or VWO (4th, 5th or 6th class) / HBS / MMS",1,,3,3,4,4,0,4,3,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=1773810,NL,1773810,1773810,FB,xxxx@xxx.com,Completed
2021-10-07 3:06:46,2021-10-07 3:08:56,IP Address,100,130,TRUE,2021-10-07 3:08:57,R_bvLcVMdP41SVktz,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",72,Female,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,5,1,1,,5,5,1,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=485660,NL,485660,485660,FB,xxxx@xxx.com,Completed
2021-10-07 3:07:30,2021-10-07 3:09:09,IP Address,100,98,TRUE,2021-10-07 3:09:09,R_brRLARLjkC0WjtL,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",61,Female,"MBO 2, 3, 4 or MBO before 1998",1,,1,,5,3,0,3,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=43626,NL,43626,43626,FB,xxxx@xxx.com,Completed
2021-10-07 3:13:12,2021-10-07 3:15:06,IP Address,100,114,TRUE,2021-10-07 3:15:06,R_PFJeyaXZhNwSr8B,anonymous,NL,1,"Yes, I participate",65,Male,"MBO 2, 3, 4 or MBO before 1998",1,,3,2,5,5,0,5,2,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=174743,NL,174743,174743,FB,xxxx@xxx.com,Completed
2021-10-07 3:45:54,2021-10-07 3:48:04,IP Address,100,130,TRUE,2021-10-07 3:48:04,R_2SAbFwBsITuWeyI,anonymous,NL,1,"Yes, I participate",65,Male,"HAVO or VWO (4th, 5th or 6th class) / HBS / MMS",1,,2,2,4,4,0,4,2,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4827240,NL,4827240,4827240,FB,xxxx@xxx.com,Completed
2021-10-07 4:31:18,2021-10-07 4:32:46,IP Address,100,87,TRUE,2021-10-07 4:32:46,R_3EtiPLqLvKHFAUP,anonymous,NL,1,"Yes, I participate",74,Male,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,2,1,1,,5,3,1,3,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=3112903,NL,3112903,3112903,FB,xxxx@xxx.com,Completed
2021-10-07 4:37:55,2021-10-07 4:41:04,IP Address,100,188,TRUE,2021-10-07 4:41:04,R_1LdMt7eR21hWush,anonymous,NL,1,"Yes, I participate",74,Male,"MBO 2, 3, 4 or MBO before 1998",1,,1,,5,3,0,3,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4511573,NL,4511573,4511573,FB,xxxx@xxx.com,Completed
2021-10-07 5:26:37,2021-10-07 5:28:58,IP Address,100,141,TRUE,2021-10-07 5:28:58,R_3ikcY4Kmq5jGKet,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",60,Female,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,5,1,1,,5,5,1,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=1867914,NL,1867914,1867914,FB,xxxx@xxx.com,Completed
2021-10-07 5:34:18,2021-10-07 5:35:27,IP Address,100,68,TRUE,2021-10-07 5:35:27,R_tRo2RoMLlJySzOV,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",90,Female,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,1,,1,,5,5,0,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=17887,NL,17887,17887,FB,xxxx@xxx.com,Completed
2021-10-07 6:15:29,2021-10-07 6:16:38,IP Address,100,69,TRUE,2021-10-07 6:16:39,R_22VcoTUvI4NH1oa,anonymous,NL,1,"Yes, I participate",73,Female,None or primary education,1,,1,,5,4,0,4,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=480760,NL,480760,480760,FB,xxxx@xxx.com,Completed
2021-10-07 6:15:46,2021-10-07 6:16:51,IP Address,100,65,TRUE,2021-10-07 6:16:52,R_rqIxatjUGz0tAI1,anonymous,NL,1,"Yes, I participate",77,Female,"MBO 2, 3, 4 or MBO before 1998",1,,1,,5,5,0,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=173934,NL,173934,173934,FB,xxxx@xxx.com,Completed
2021-10-12 4:14:00,2021-10-12 4:15:22,IP Address,100,81,TRUE,2021-10-12 4:15:22,R_3G2NUN18J0D3WFn,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",36,Male,LBO / VMBO (management or vocational) / MBO/ VBO,2,1,3,3,5,5,1,5,3,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=1739633,NL,1739633,1739633,FB,xxxx@xxx.com,Completed
2021-10-13 4:44:43,2021-10-13 8:15:00,IP Address,100,12617,TRUE,2021-10-13 8:15:00,R_3iEEKrb5jPc5Ky1,anonymous,NL,1,"Yes, I participate",56,Male,WO doctoral / WO master / HBO master / postgraduate education,1,,3,3,5,5,0,5,3,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=594944,NL,594944,594944,FB,xxxx@xxx.com,Completed
2021-10-13 9:03:08,2021-10-13 9:04:34,IP Address,100,85,TRUE,2021-10-13 9:04:34,R_10CWjRLuW40oPRv,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",48,Male,"MBO 2, 3, 4 or MBO before 1998",2,1,1,,5,4,1,4,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4916690,NL,4916690,4916690,FB,xxxx@xxx.com,Completed
2021-10-13 9:02:17,2021-10-13 9:05:30,IP Address,100,192,TRUE,2021-10-13 9:05:30,R_rotr5TxhDLyP0PL,anonymous,NL,1,"Yes, I participate",70,Male,LBO / VMBO (management or vocational) / MBO/ VBO,1,,3,3,5,5,0,5,3,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=809873,NL,809873,809873,FB,xxxx@xxx.com,Completed
2021-10-13 9:06:17,2021-10-13 9:10:09,IP Address,100,231,TRUE,2021-10-13 9:10:09,R_1DGWKAP34MMyuLX,anonymous,NL,1,"Yes, I participate",58,Female,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,1,,2,2,5,3,0,3,2,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=3182935,NL,3182935,3182935,FB,xxxx@xxx.com,Completed
2021-10-13 9:08:17,2021-10-13 9:10:11,IP Address,100,114,TRUE,2021-10-13 9:10:11,R_1FP2oa4ymhkgdcw,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",76,Male,HBO (except HBO master) / WO candidate or WO bachelor,1,,2,2,3,3,0,3,2,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4380590,NL,4380590,4380590,FB,xxxx@xxx.com,Completed
2021-10-13 9:09:07,2021-10-13 9:10:24,IP Address,100,77,TRUE,2021-10-13 9:10:24,R_29gMfOAad3hGGUp,anonymous,NL,1,"Yes, I participate",71,Female,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,1,,1,,3,3,0,3,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=19126,NL,19126,19126,FB,xxxx@xxx.com,Completed
2021-10-13 9:29:26,2021-10-13 9:31:24,IP Address,100,117,TRUE,2021-10-13 9:31:24,R_3pfIHu6NTqDGxlm,anonymous,NL,1,"Yes, I participate",68,Male,None or primary education,1,,3,3,5,5,0,5,3,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4489604,NL,4489604,4489604,FB,xxxx@xxx.com,Completed
2021-10-13 9:38:31,2021-10-13 9:40:00,IP Address,100,89,TRUE,2021-10-13 9:40:00,R_vVR6ocSnMIYZLAB,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",76,Male,HBO (except HBO master) / WO candidate or WO bachelor,1,,1,,4,4,0,4,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=596432,NL,596432,596432,FB,xxxx@xxx.com,Completed
2021-10-13 9:39:36,2021-10-13 9:42:11,IP Address,100,155,TRUE,2021-10-13 9:42:12,R_1rAKj9ngpS32bsQ,anonymous,NL,1,"Yes, I participate",60,Male,None or primary education,1,,5,5,5,5,0,5,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4729468,NL,4729468,4729468,FB,xxxx@xxx.com,Completed
2021-10-13 9:49:51,2021-10-13 9:50:49,IP Address,100,58,TRUE,2021-10-13 9:50:49,R_2czr7lIULA2A2Aa,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",22,Male,HBO (except HBO master) / WO candidate or WO bachelor,1,,1,,5,5,0,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4608304,NL,4608304,4608304,FB,xxxx@xxx.com,Completed
2021-10-13 10:13:00,2021-10-13 10:14:48,IP Address,100,107,TRUE,2021-10-13 10:14:48,R_3k6A4lSldRlVezj,anonymous,NL,1,"Yes, I participate",69,Male,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,1,,1,,5,3,0,3,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=489084,NL,489084,489084,FB,xxxx@xxx.com,Completed
2021-10-13 10:23:41,2021-10-13 10:25:11,IP Address,100,90,TRUE,2021-10-13 10:25:11,R_3GjFtYz8OliFBcf,anonymous,NL,1,"Yes, I participate",36,Female,"HAVO or VWO (4th, 5th or 6th class) / HBS / MMS",3,1,2,2,5,5,1,5,2,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4887703,NL,4887703,4887703,FB,xxxx@xxx.com,Completed
2021-10-13 10:34:54,2021-10-13 10:35:30,IP Address,100,36,TRUE,2021-10-13 10:35:30,R_12Gtg70du1kSvd8,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",55,Female,"MBO 2, 3, 4 or MBO before 1998",1,,5,5,5,5,0,5,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=21020,NL,21020,21020,FB,xxxx@xxx.com,Completed
2021-10-13 10:47:29,2021-10-13 10:49:25,IP Address,100,115,TRUE,2021-10-13 10:49:25,R_3sIzNGbFsmGIYuZ,anonymous,NL,1,"Yes, I participate",73,Male,None or primary education,1,,5,5,5,5,0,5,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=43209,NL,43209,43209,FB,xxxx@xxx.com,Completed
2021-10-13 10:48:39,2021-10-13 10:50:10,IP Address,100,91,TRUE,2021-10-13 10:50:11,R_6QN7uO1YJrna1e9,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",37,Female,"MBO 2, 3, 4 or MBO before 1998",1,,2,2,5,5,0,5,2,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=5025828,NL,5025828,5025828,FB,xxxx@xxx.com,Completed
2021-10-13 10:51:09,2021-10-13 10:52:48,IP Address,100,99,TRUE,2021-10-13 10:52:50,R_2zAZYsr2xWwTo3r,anonymous,NL,89.999.997.615.814.200.000.000,"Yes, I participate",76,Female,None or primary education,1,,2,5,5,5,0,5,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4625400,NL,4625400,4625400,FB,xxxx@xxx.com,Completed
2021-10-13 12:04:36,2021-10-13 12:05:59,IP Address,100,83,TRUE,2021-10-13 12:06:00,R_30cpmr00Ag7nSdq,anonymous,NL,1,"Yes, I participate",67,Male,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,1,,5,5,5,5,0,5,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=5028834,NL,5028834,5028834,FB,xxxx@xxx.com,Completed
2021-10-13 15:55:55,2021-10-13 15:58:18,IP Address,100,143,TRUE,2021-10-13 15:58:19,R_51KLbIn8c9GJcK5,anonymous,NL,1,"Yes, I participate",43,Male,"HAVO or VWO (4th, 5th or 6th class) / HBS / MMS",2,1,5,5,5,5,1,5,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=2686579,NL,2686579,2686579,FB,xxxx@xxx.com,Completed
2021-10-13 21:21:27,2021-10-13 21:22:46,IP Address,100,79,TRUE,2021-10-13 21:22:47,R_1HqJLg4y7mEDm7z,anonymous,NL,1,"Yes, I participate",70,Male,None or primary education,2,1,5,5,5,5,1,5,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=43450,NL,43450,43450,FB,xxxx@xxx.com,Completed
2021-10-14 1:26:59,2021-10-14 1:27:48,IP Address,100,48,TRUE,2021-10-14 1:27:48,R_3HuZHGDLvvYhIeQ,anonymous,NL,1,"Yes, I participate",65,Male,LBO / VMBO (management or vocational) / MBO/ VBO,1,,1,,5,4,0,4,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=4326794,NL,4326794,4326794,FB,xxxx@xxx.com,Completed
2021-10-14 2:17:28,2021-10-14 2:19:34,IP Address,100,126,TRUE,2021-10-14 2:19:35,R_XsNcHPYsDGykop3,anonymous,NL,1,"Yes, I participate",74,Female,MAVO / HAVO or VWO (first three years) / VMBO (theoretical or mixed) / (M)ULO,1,,1,,5,5,0,5,0,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=168751,NL,168751,168751,FB,xxxx@xxx.com,Completed
2021-10-14 3:14:35,2021-10-14 3:15:46,IP Address,100,70,TRUE,2021-10-14 3:15:46,R_3isZt6311fQNqyV,anonymous,NL,1,"Yes, I participate",46,Female,HBO (except HBO master) / WO candidate or WO bachelor,1,,3,5,4,4,0,4,5,https://uva.fra1.qualtrics.com/jfe/form/SV_eM79Ot1jI4j5MhM?imid=3932533,NL,3932533,3932533,FB,xxxx@xxx.com,Completed
